霊体変化：雷	Spirit Form Transformation： Thunder
魔力常時回復	Constant Mana Recovery
同時多発動	Simultaneous Multi-cast
魔杖創造者	Magic Wand Creator
荒御魂	Aramitama / Desolation Spirit
冥群砲士	Dark Battery Cannoneer
魂格闘士	Soul Fighter / Martial Artist
神滅者	God Destroyer
クリフォト	Qliphoth
冥獣使い	Dark Beast User
整霊師	Spirit Tuner
匠：変身装具	Artisan: Transformation Equipment
虚影士	Shadow Warrior
アポリオン	Apollion / Abaddon
デモゴルゴン	Demogorgon
魂喰士	Soul Eater
神喰者	God Eater
羅刹王	Rakshasa King
ネルガル	Nergal
シャイターン	Jersey Devil / Satan (Arab)
蚩尤	Natural Fool
ウロボロス	Ouroboros
ルドラ	Rudra
血統者	Blood Ruler
魔電士	Demonic Lightning Warrior
陰導士	Shadow/Yin Guider
神導士	God/Divine Guider
ジャガーノート	Juggernaut
整霊	Refined Spirit
ダンピール(女神)	Dhampir (goddess)
黒血帝	Black Blood Emperor
龍帝	Dragon Emperor
屋台王	King of the Stalls
天才テイマー	Genius Tamer
歓楽街の真の支配者	True Ruler of the Entertainment District
弦術士	String User
大魔王	Great Demon King
冥魔創滅夢道誘引	Enticement Dark Demon Creation Destruction Dream Path
導き：冥魔創滅夢道	Guidance: Dark Demon Creation Destruction Dream Path
従群超強化	Mass Strengthen Adherents
魔糸精製	Magic Thread Refining
能力値強化：ヴィダル魔帝国	Strengthened Attribute Values: Vidal Empire
自己再生：共食い	Self-Regeneration: Cannibalism
能力値増強：共食い	Augmented Attribute Values: Cannibalism
魂纏時能力値強化	Strengthened Attack Power Materialized Soul
統血	Bloodrule
魂格滅闘術	Soul Breaking Arts
具現化	Embodiment / Realization
装影群術	Group Shadow Binding Technique
欠片限界超越	Trascend Limits
楽器演奏	Musical / Instrument Performance
異貌多重魂魄	Abnormal Soul Hive
地球の神の加護	Gods of Earth's Divine Protection
魔王の魔眼	Demon King's Evil Eye
魂魄限界突破	Surpass Limits Soul
変異誘発	Mutagenesis
魔王の肉体	Demon King's Body
亜神	Demi-God
芸導士	Entertainer / Guider
変鎖鎧術	Moving Chains Armor Technique
将群	General Commanding
マジカルアイドル	Magical Idol
マジカルダンサー	Magical Dancer
伝道者	Evangelist
弓装備時攻撃力強化：中	Enhanced Dexterity when Equipped with Bow: Medium
自己強化：変身	Self-Reinforcement: Henshin / Transformation
導き：芸道	Guidance: Entertainment Path
芸道誘引	Enticement Entertainment Path
血管	血管
：骨	: Bone
：小	: small
火・光属性耐性	Fire and Light-Attribute Resistance
生命属性の神々(ヴィダ派)の加護	Life Attribute Gods’ Divine Protection (Those allied with Vida)
魔杖限界突破	Surpass Limits Magic Staff
魔杖装者	Magic Staff Transformation
命帝魔術師	Life-Emperor Mage
夢導士	Dream Guider
能力値強化：	Strengthened Attribute Values: 
斧装備時攻撃力強化：小	Enhanced Attack Power when Equipped with Axe: small
能力値強化：	Enhance Abilities: 
見習い神官	Apprentice Priest
神官	Priest
ドルトン	Dalton
聖母殺し	Holy Mother Killer
ミルの加護	Mill’s Divine Blessing
体内世界	Inner Body World
ジョニー・ヤマオカ	Johnny Yamaoka
ジョニー	Johnny
ヤマオカ	Yamaoka
ダローク	Darock
ベールケルト	Bellquert
セイタンプロミネンスゴースト	Satan Prominence Ghost
グールウィザードソードアデプト	Ghoul Wizard Sword Adept
炎空魔術師	Fire-Space Magic Swordsman
高位精霊魔術師	High Ranking Spiritual-Mage
