ツヨシ・ムコウダ	Tsuyoshi Mukouda
パラライズバタフライ	Paralyze Butterfly
ジャイアントセンチピード	Giant Centipede
ワイルドエイプ	Wild Ape
キラーホーネット	Killer Hornet
ヴァースキ	Vasuki
マンティコア	Manticore
ギュスターブ	Gustave
ジャイアントサンドスコーピオン	Giant Sand Scorpion
サンドワーム	Sand Worm
デスサイドワインダー	Deathside Winder
ジャイアントサンドゴーレム	Giant Sand Golem
ミミック	Mimic
アスピドケロン	Aspidochelone
ゲルト	Gert
ゲルトさん	Gert-san
アドリアン	Adrian
アドリアンさん	Adrian-san
カルロッテ	Charlotte
カルロッテさん	Charlotte-san
ハインツ	Heinz
ハインツさん	Heinz-san
ナディヤ	Nadja
ナディヤさん	Nadja-san
ナディアさん	Nadja
ナディア	Nadja-san
ガウディーノ	Gaudino
ガウディーノさん	Gaudino-san
ギディオン	Gidion
ギディオンさん	Gidion-san
シーグヴァルド	Sigwald
シーグヴァルドさん	Sigwald-san
フェオドラ	Feodora
フェオドラさん	Feodora-san
イグアナ	Iguana
ハンソン	Hanson
ハンソンさん	Hanson-san
ニコライ	Nicolai
ニコライさん	Nicolai-san
ティルザ	Tirza
ティルザさん	Tirza-san
ミハイル君	Michael-kun
ミラナ	Mirana
ミラナちゃん	Mirana-chan
ネストリ	Nestor
ネストリさん	Nestor-san
ラドスラフ	Radoslaw
ラドスラフさん	Radoslaw-san
トニさん	Toni-san
アイヤさん	Aiya-san
コスティ君	Kosti-kun
セリヤちゃん	Celia-chan
アルバン	Alban
アルバンさん	Alban-san
テレーザ	Teresa
テレーザさん	Teresa-san
オリバー君	Oliver-kun
エーリク君	Erik-kun
ロッテちゃん	Lotte-chan
タバサさん	Tabasa-san
ルークさん	Luke-san
アーヴィンさん	Irvine-san
バルテルさん	Bartel-san
ジャンニーノさん	Jannino-san
ジャンニーノ	Jannino
ガブリエル	Gabriel
ガブリエルさん	Gabriel-san
メイナード	Maynard
メイナードさん	Maynard-san
エンゾ	Enzo
エンゾさん	Enzo-san
ワイルドバイソン	Wild Bison
ゴールデンシープ	Golden Sheep
ジャイアントホーンボア	Giant Horn Snake "Bor?"
ブルーブル	Blue Bull
ジャイアントターキー	Giant Turkey
ローセンダール	Rosendale	"City"
イサク	Isaac
イサクさん	Isaac-san
トリスタン	Tristan
トリスタンさん	Tristan-san
ブリクスト	Brikst	"Town"
アレクサンドロフ	Alexsandrov
アレクサンドロフさん	Alexsandrov-san
アレク	Alex
アレクさん	Alex-san
ファティマさん	Fatima-san
ファティマ	Fatima
サムエル	Samuel
サムエルさん	Samuel-san
ガーゴイル	Gargoyle
ストーンゴーレム	Stone Golem
アイアンゴーレム	Iron Golem
ヴァンパイアモスキート	Vampire Mosquito
レッドボア	Red Boar
ジャイアントホーンラビット	Giant Horn Rabbit
ホーンラビット	Horn Rabbit
グレートウルフ	Great Wolf
レッドタイガー	Red Tiger
フォレストパンサー	Forest Panther
タイラントゴリラ	Tyrant Gorilla
ズラトロク	Zlatorog	"Goldhorn in English"
バルトロメオ	Bartolomeo
バルトロメオさん	Bartolomeo-san
エレウテリオ	Eleuterio
エレウテリオさん	Eleuterio-san
